,AirportID,Name,City,Country,IATA,ICA,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,MergedTz
2385,2514,Héroes De Malvinas Airport,Tandil,Argentina,TDL,SAZT,-37.2374000549,-59.227901458699996,574,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2386,2515,Villa Gesell Airport,Villa Gesell,Argentina,VLG,SAZV,-37.2354,-57.0292,32,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2391,2520,Amapá Airport,Amapa,Brazil,,SBAM,2.0775099999999997,-50.8582,45,-3.0,S,America/Fortaleza,airport,OurAirports,America/Belem
2393,2522,Santa Maria Airport,Aracaju,Brazil,AJU,SBAR,-10.984000206,-37.0703010559,23,-3.0,S,America/Fortaleza,airport,OurAirports,America/Maceio
2394,2524,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,AFL,SBAT,-9.866389274600001,-56.104999542200005,948,-4.0,S,America/Campo_Grande,airport,OurAirports,America/Cuiaba
2404,2534,Barra do Garças Airport,Barra Do Garcas,Brazil,,SBBW,-15.8613004684,-52.388900756800005,1147,-4.0,S,America/Campo_Grande,airport,OurAirports,America/Cuiaba
2406,2536,Cachimbo Airport,Itaituba,Brazil,,SBCC,-9.333939552310001,-54.9654006958,1762,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2416,2546,Caravelas Airport,Caravelas,Brazil,CRQ,SBCV,-17.652299880981,-39.253101348877,36,-3.0,S,America/Fortaleza,airport,OurAirports,America/Bahia
2418,2548,Marechal Rondon Airport,Cuiaba,Brazil,CGB,SBCY,-15.6528997421,-56.1166992188,617,-4.0,S,America/Campo_Grande,airport,OurAirports,America/Cuiaba
2421,2551,Eduardo Gomes International Airport,Manaus,Brazil,MAO,SBEG,-3.038609981536865,-60.04970169067383,264,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2422,2552,Jacareacanga Airport,Jacare-acanga,Brazil,,SBEK,-6.2331600189208975,-57.77690124511719,323,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2426,2556,Fernando de Noronha Airport,Fernando Do Noronha,Brazil,FEN,SBFN,-3.8549299240112314,-32.423301696777344,193,-3.0,S,America/Fortaleza,airport,OurAirports,America/Noronha
2430,2561,Guajará-Mirim Airport,Guajara-mirim,Brazil,,SBGM,-10.786399841308594,-65.28479766845703,478,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Porto_Velho
2435,2566,Altamira Airport,Altamira,Brazil,ATM,SBHT,-3.2539100646973,-52.254001617432,369,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2436,2567,Itacoatiara Airport,Itaituba,Brazil,,SBIC,-3.127259969711304,-58.481201171875,142,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2437,2568,Itaituba Airport,Itaituba,Brazil,ITB,SBIH,-4.2423400878906,-56.000701904296996,110,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2438,2569,Bahia - Jorge Amado Airport,Ilheus,Brazil,IOS,SBIL,-14.815999984741001,-39.033199310303004,15,-3.0,S,America/Fortaleza,airport,OurAirports,America/Bahia
2451,2582,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Brazil,LAZ,SBLP,-13.2621002197,-43.4081001282,1454,-3.0,S,America/Fortaleza,airport,OurAirports,America/Bahia
2454,2585,Monte Dourado Airport,Almeirim,Brazil,,SBMD,-0.889838993549,-52.602199554399995,677,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2457,2589,Ponta Pelada Airport,Manaus,Brazil,PLL,SBMN,-3.1460399627685547,-59.98630142211914,267,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2458,2590,Zumbi dos Palmares Airport,Maceio,Brazil,MCZ,SBMO,-9.510809898376463,-35.79169845581055,387,-3.0,S,America/Fortaleza,airport,OurAirports,America/Maceio
2459,2591,Alberto Alcolumbre Airport,Macapa,Brazil,MCP,SBMQ,0.0506640002131,-51.0722007751,56,-3.0,S,America/Fortaleza,airport,OurAirports,America/Belem
2462,2594,Manicoré Airport,Manicore,Brazil,MNX,SBMY,-5.8113799095153995,-61.278301239014,174,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2466,2598,Oiapoque Airport,Oioiapoque,Brazil,,SBOI,3.85548996925354,-51.79690170288086,63,-3.0,S,America/Fortaleza,airport,OurAirports,America/Belem
2472,2604,Senador Nilo Coelho Airport,Petrolina,Brazil,PNZ,SBPL,-9.362409591674805,-40.56909942626953,1263,-3.0,S,America/Fortaleza,airport,OurAirports,America/Recife
2473,2605,Porto Nacional Airport,Porto Nacional,Brazil,PNB,SBPN,-10.719400405883787,-48.39970016479492,870,-3.0,S,America/Fortaleza,airport,OurAirports,America/Araguaina
2475,2607,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,PVH,SBPV,-8.70928955078125,-63.90230178833008,290,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Porto_Velho
2477,2610,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.126489639282228,-34.923599243164055,33,-3.0,S,America/Fortaleza,airport,OurAirports,America/Recife
2486,2621,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,SSA,SBSV,-12.9086112976,-38.3224983215,64,-3.0,S,America/Fortaleza,airport,OurAirports,America/Bahia
2487,2622,Trombetas Airport,Oriximina,Brazil,TMT,SBTB,-1.489599943161,-56.396800994873,287,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2489,2624,Tefé Airport,Tefe,Brazil,TFF,SBTF,-3.38294005394,-64.7240982056,188,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2492,2627,Tiriós Airport,Obidos Tirios,Brazil,,SBTS,2.2234699726104736,-55.94609832763672,1127,-3.0,S,America/Belem,airport,OurAirports,America/Santarem
2493,2628,Tabatinga Airport,Tabatinga,Brazil,TBT,SBTT,-4.2556700706482,-69.93579864502,279,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2495,2630,São Gabriel da Cachoeira Airport,Sao Gabriel,Brazil,SJL,SBUA,-0.14835,-66.9855,251,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2496,2631,Paulo Afonso Airport,Paulo Alfonso,Brazil,PAV,SBUF,-9.4008798599243,-38.250598907471,883,-3.0,S,America/Fortaleza,airport,OurAirports,America/Bahia
2501,2637,Brigadeiro Camarão Airport,Vilhena,Brazil,BVH,SBVH,-12.694399833678998,-60.098300933838,2018,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Porto_Velho
2503,2639,Iauaretê Airport,Iauarete,Brazil,,SBYA,0.6075000166893,-69.18579864502,345,-4.0,S,America/Boa_Vista,airport,OurAirports,America/Manaus
2511,2647,Pdte. carlos Ibañez del Campo Airport,Punta Arenas,Chile,PUQ,SCCI,-53.002601623535156,-70.85459899902344,139,-4.0,S,America/Santiago,airport,OurAirports,America/Punta_Arenas
2516,2652,Capitan Fuentes Martinez Airport Airport,Porvenir,Chile,WPR,SCFM,-53.253700256347656,-70.31919860839844,104,-4.0,S,America/Santiago,airport,OurAirports,America/Punta_Arenas
2519,2655,Guardiamarina Zañartu Airport,Puerto Williams,Chile,WPU,SCGZ,-54.93109893798828,-67.62629699707031,88,-4.0,S,America/Santiago,airport,OurAirports,America/Punta_Arenas
2747,2896,Flamingo International Airport,Kralendijk,Netherlands Antilles,BON,TNCB,12.130999565124512,-68.26850128173828,20,-4.0,U,America/Curacao,airport,OurAirports,America/Kralendijk
2749,2898,F. D. Roosevelt Airport,Oranjestad,Netherlands Antilles,EUX,TNCE,17.49650001525879,-62.97940063476562,129,-4.0,U,America/Curacao,airport,OurAirports,America/Kralendijk
2750,2899,Princess Juliana International Airport,Philipsburg,Netherlands Antilles,SXM,TNCM,18.0410003662,-63.108898162799996,13,-4.0,U,America/Curacao,airport,OurAirports,America/Lower_Princes
2758,2908,Almaty Airport,Alma-ata,Kazakhstan,ALA,UAAA,43.35210037231445,77.04049682617188,2234,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2759,2909,Balkhash Airport,Balkhash,Kazakhstan,BXH,UAAH,46.8932991027832,75.00499725341797,1446,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2760,2910,Astana International Airport,Tselinograd,Kazakhstan,TSE,UACC,51.02220153808594,71.46690368652344,1165,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2761,2911,Taraz Airport,Dzhambul,Kazakhstan,DMB,UADD,42.853599548339844,71.30359649658203,2184,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2764,2914,Shymkent Airport,Chimkent,Kazakhstan,CIT,UAII,42.364200592041016,69.47889709472656,1385,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2766,2917,Pavlodar Airport,Pavlodar,Kazakhstan,PWQ,UASP,52.19499969482422,77.07389831542969,410,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2767,2918,Semipalatinsk Airport,Semiplatinsk,Kazakhstan,PLX,UASS,50.35129928588867,80.2343978881836,761,6.0,U,Asia/Qyzylorda,airport,OurAirports,Asia/Almaty
2768,2920,Aktobe Airport,Aktyubinsk,Kazakhstan,AKX,UATT,50.24580001831055,57.20669937133789,738,5.0,U,Asia/Oral,airport,OurAirports,Asia/Aqtobe
2775,2930,Sokol Airport,Magadan,Russia,GDX,UHMM,59.9109992980957,150.72000122070312,574,11.0,N,Asia/Srednekolymsk,airport,OurAirports,Asia/Magadan
2777,2932,Yelizovo Airport,Petropavlovsk,Russia,PKC,UHPP,53.16790008544922,158.45399475097656,131,12.0,N,Asia/Anadyr,airport,OurAirports,Asia/Kamchatka
2778,2933,Yuzhno-Sakhalinsk Airport,Yuzhno-sakhalinsk,Russia,UUS,UHSS,46.88869857788086,142.71800231933594,59,11.0,N,Asia/Srednekolymsk,airport,OurAirports,Asia/Sakhalin
2780,2935,Chita-Kadala Airport,Chita,Russia,HTA,UIAA,52.026299,113.306,2272,9.0,N,Asia/Yakutsk,airport,OurAirports,Asia/Chita
2799,2956,Barnaul Airport,Barnaul,Russia,BAX,UNBB,53.36380004882813,83.53849792480469,837,7.0,N,Asia/Krasnoyarsk,airport,OurAirports,Asia/Barnaul
2800,2957,Kemerovo Airport,Kemorovo,Russia,KEJ,UNEE,55.27009963989258,86.1072006225586,863,7.0,N,Asia/Krasnoyarsk,airport,OurAirports,Asia/Novokuznetsk
2808,2966,Astrakhan Airport,Astrakhan,Russia,ASF,URWA,46.2832984924,48.0063018799,-65,4.0,N,Europe/Samara,airport,OurAirports,Europe/Astrakhan
2809,2967,Volgograd International Airport,Volgograd,Russia,VOG,URWW,48.78250122070313,44.34550094604492,482,3.0,N,Europe/Moscow,airport,OurAirports,Europe/Volgograd
2822,2983,Tashkent International Airport,Tashkent,Uzbekistan,TAS,UTTT,41.257900238000005,69.2811965942,1417,5.0,U,Asia/Samarkand,airport,OurAirports,Asia/Tashkent
2833,2994,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD,VAAH,23.0771999359,72.63469696039998,189,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2834,2995,Akola Airport,Akola,India,AKD,VAAK,20.698999404907227,77.05860137939453,999,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2835,2996,Aurangabad Airport,Aurangabad,India,IXU,VAAU,19.862699508666992,75.39810180664062,1911,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2836,2997,Chhatrapati Shivaji International Airport,Mumbai,India,BOM,VABB,19.088699340799998,72.8678970337,39,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2837,2998,Bilaspur Airport,Bilaspur,India,PAB,VABI,21.988399505615234,82.11100006103516,899,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2838,2999,Bhuj Airport,Bhuj,India,BHJ,VABJ,23.2877998352,69.6701965332,268,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2839,3000,Belgaum Airport,Belgaum,India,IXG,VABM,15.8592996597,74.6183013916,2487,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2840,3001,Vadodara Airport,Baroda,India,BDQ,VABO,22.3362007141,73.2263031006,129,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2841,3002,Raja Bhoj International Airport,Bhopal,India,BHO,VABP,23.2875003815,77.33740234380001,1711,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2842,3003,Bhavnagar Airport,Bhaunagar,India,BHU,VABV,21.752199173,72.18520355220001,44,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2843,3004,Daman Airport,Daman,India,NMB,VADN,20.43440055847168,72.84320068359375,33,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2844,3005,Deesa Airport,Deesa,India,,VADS,24.267900466918945,72.20439910888672,485,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2845,3006,Guna Airport,Guna,India,,VAGN,24.654699325561523,77.34729766845703,1600,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2846,3007,Dabolim Airport,Goa,India,GOI,VAGO,15.3808002472,73.83139801029999,150,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2847,3008,Devi Ahilyabai Holkar Airport,Indore,India,IDR,VAID,22.721799850500002,75.8011016846,1850,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2848,3009,Jabalpur Airport,Jabalpur,India,JLR,VAJB,23.17779922485352,80.052001953125,1624,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2849,3010,Jamnagar Airport,Jamnagar,India,JGA,VAJM,22.465499877929688,70.01260375976561,69,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2850,3011,Kandla Airport,Kandla,India,IXY,VAKE,23.1126995087,70.1003036499,96,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2851,3012,Khajuraho Airport,Khajuraho,India,HJR,VAKJ,24.817199706999997,79.91860198970001,728,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2852,3013,Kolhapur Airport,Kolhapur,India,KLH,VAKP,16.664699554400002,74.2893981934,1996,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2853,3014,Keshod Airport,Keshod,India,IXK,VAKS,21.317100524902344,70.27040100097656,167,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2854,3015,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,NAG,VANP,21.092199325561523,79.04720306396484,1033,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2855,3016,Gandhinagar Airport,Nasik Road,India,ISK,VANR,19.963699340799998,73.8076019287,1959,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2856,3017,Pune Airport,Pune,India,PNQ,VAPO,18.58209991455078,73.9197006225586,1942,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2857,3018,Porbandar Airport,Porbandar,India,PBD,VAPR,21.6487007141,69.65720367429999,23,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2858,3019,Rajkot Airport,Rajkot,India,RAJ,VARK,22.3092002869,70.77950286869998,441,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2859,3020,Raipur Airport,Raipur,India,RPR,VARP,21.180400848399998,81.7388000488,1041,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2860,3021,Solapur Airport,Sholapur,India,SSE,VASL,17.6280002594,75.93479919430001,1584,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2861,3022,Surat Airport,Surat,India,STV,VASU,21.1140995026,72.7417984009,16,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2862,3023,Maharana Pratap Airport,Udaipur,India,UDR,VAUD,24.617700576799997,73.89610290530001,1684,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2874,3037,Along Airport,Along,India,,VEAN,28.17530059814453,94.802001953125,900,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2875,3038,Agartala Airport,Agartala,India,IXA,VEAT,23.8869991302,91.2404022217,46,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2876,3039,Lengpui Airport,Aizwal,India,AJL,VELP,23.8405990601,92.6196975708,1398,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2877,3040,Bagdogra Airport,Baghdogra,India,IXB,VEBD,26.68120002746582,88.32859802246094,412,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2878,3041,Bokaro Airport,Bokaro,India,,VEBK,23.64349937438965,86.1489028930664,715,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2879,3042,Biju Patnaik Airport,Bhubaneswar,India,BBI,VEBS,20.2444000244,85.8178024292,138,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2880,3043,Netaji Subhash Chandra Bose International Airport,Kolkata,India,CCU,VECC,22.654699325561523,88.44670104980469,16,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2881,3044,Cooch Behar Airport,Cooch-behar,India,COH,VECO,26.330499649,89.46720123290001,138,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2882,3045,Dhanbad Airport,Dhanbad,India,DBD,VEDB,23.833999633789066,86.42530059814453,847,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2883,3048,Gaya Airport,Gaya,India,GAY,VEGY,24.74430084228516,84.95120239257812,380,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2884,3049,Hirakud Airport,Hirakud,India,,VEHK,21.5802001953125,84.00569915771484,658,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2885,3050,Imphal Airport,Imphal,India,IMF,VEIM,24.760000228899997,93.896697998,2540,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2886,3051,Jharsuguda Airport,Jharsuguda,India,,VEJH,21.91349983215332,84.05039978027344,751,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2887,3052,Jamshedpur Airport,Jamshedpur,India,IXW,VEJS,22.813199996900007,86.168800354,475,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2888,3053,Jorhat Airport,Jorhat,India,JRH,VEJT,26.7315006256,94.1754989624,311,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2889,3054,Kailashahar Airport,Kailashahar,India,IXH,VEKR,24.30820083618164,92.0072021484375,79,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2890,3055,Silchar Airport,Silchar,India,IXS,VEKU,24.912900924699997,92.97869873049999,352,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2891,3056,North Lakhimpur Airport,Lilabari,India,IXI,VELR,27.295499801635746,94.09760284423828,330,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2892,3057,Dibrugarh Airport,Mohanbari,India,DIB,VEMN,27.4839000702,95.01689910889999,362,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2893,3058,Muzaffarpur Airport,Mazuffarpur,India,,VEMZ,26.11910057067871,85.3136978149414,174,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2894,3059,Nawapara Airport,Nawapara,India,,VENP,20.8700008392334,82.51959991455078,1058,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2895,3061,Lok Nayak Jayaprakash Airport,Patina,India,PAT,VEPT,25.591299056999997,85.08799743649999,170,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2896,3062,Purnea Airport,Purnea,India,,VEPU,25.759599685668945,87.41000366210938,129,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2897,3063,Birsa Munda Airport,Ranchi,India,IXR,VERC,23.314300537100006,85.3217010498,2148,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2898,3064,Rourkela Airport,Rourkela,India,RRK,VERK,22.25670051574707,84.8145980834961,659,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2899,3065,Utkela Airport,Utkela,India,,VEUK,20.097400665283203,83.18379974365234,680,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2900,3066,Vishakhapatnam Airport,Vishakhapatnam,India,VTZ,VEVZ,17.721200943,83.22450256350001,15,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2901,3067,Zero Airport,Zero,India,,VEZO,27.58830070495605,93.8281021118164,5403,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2913,3079,Agra Airport,Agra,India,AGR,VIAG,27.155799865722656,77.96089935302734,551,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2914,3080,Allahabad Airport,Allahabad,India,IXD,VIAL,25.440099716186523,81.73390197753906,322,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2915,3081,Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,VIAR,31.7096004486,74.7973022461,756,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2916,3082,Nal Airport,Bikaner,India,,VIBK,28.070600509643555,73.20719909667969,750,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2917,3084,Lal Bahadur Shastri Airport,Varanasi,India,VNS,VIBN,25.4524002075,82.85929870609999,266,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2918,3085,Kullu Manali Airport,Kulu,India,KUU,VIBR,31.87669944763184,77.15440368652344,3573,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2919,3087,Bhiwani Airport,Bhiwani,India,,VIBW,28.83699989318848,76.1791000366211,720,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2920,3089,Chandigarh Airport,Chandigarh,India,IXC,VICG,30.67350006103516,76.78849792480469,1012,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2921,3091,Safdarjung Airport,Delhi,India,,VIDD,28.58449935913086,77.20580291748047,705,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2922,3092,Dehradun Airport,Dehra Dun,India,DED,VIDN,30.189699173,78.18029785159999,1831,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2923,3093,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.56649971008301,77.10310363769531,777,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2924,3094,Gwalior Airport,Gwalior,India,GWL,VIGR,26.29330062866211,78.22779846191406,617,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2925,3095,Hissar Airport,Hissar,India,,VIHR,29.179399490356445,75.75530242919922,700,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2926,3096,Jhansi Airport,Jhansi,India,,VIJN,25.491199493408203,78.55840301513672,801,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2927,3097,Jodhpur Airport,Jodhpur,India,JDH,VIJO,26.25110054016113,73.04889678955078,717,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2928,3098,Jaipur International Airport,Jaipur,India,JAI,VIJP,26.8241996765,75.8122024536,1263,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2929,3099,Jaisalmer Airport,Jaisalmer,India,JSA,VIJR,26.88870048522949,70.86499786376953,751,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2930,3100,Jammu Airport,Jammu,India,IXJ,VIJU,32.6890983582,74.83740234380001,1029,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2931,3101,Kanpur Airport,Kanpur,India,KNU,VIKA,26.4414005279541,80.36489868164062,411,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2932,3102,Kota Airport,Kota,India,KTU,VIKO,25.160200119000002,75.84559631350001,896,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2933,3103,Ludhiana Airport,Ludhiaha,India,LUH,VILD,30.854700088500977,75.95259857177734,834,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2934,3104,Leh Kushok Bakula Rimpochee Airport,Leh,India,IXL,VILH,34.135898590100005,77.5465011597,10682,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2935,3105,Chaudhary Charan Singh International Airport,Lucknow,India,LKO,VILK,26.7605991364,80.8892974854,410,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2936,3107,Patiala Airport,Patiala,India,,VIPL,30.314800262451172,76.364501953125,820,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2937,3108,Pantnagar Airport,Nainital,India,PGH,VIPT,29.03339958190918,79.47370147705078,769,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2938,3109,Fursatganj Airport,Raibarelli,India,,VIRB,26.24850082397461,81.38050079345703,360,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2939,3112,Sheikh ul Alam Airport,Srinagar,India,SXR,VISR,33.987098693847656,74.77420043945312,5429,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2940,3113,Satna Airport,Satna,India,TNI,VIST,24.562299728393555,80.85489654541016,1060,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2948,3122,Gautam Buddha Airport,Bhairawa,Nepal,BWA,VNBW,27.505684999999996,83.41629300000001,358,5.75,N,Asia/Katmandu,airport,OurAirports,Asia/Kathmandu
2949,3124,Janakpur Airport,Janakpur,Nepal,,VNJP,26.708799362199997,85.92240142819999,256,5.75,N,Asia/Katmandu,airport,OurAirports,Asia/Kathmandu
2950,3125,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.696599960300002,85.35910034179999,4390,5.75,N,Asia/Katmandu,airport,OurAirports,Asia/Kathmandu
2951,3127,Pokhara Airport,Pokhara,Nepal,PKR,VNPK,28.20089912414551,83.98210144042969,2712,5.75,N,Asia/Katmandu,airport,OurAirports,Asia/Kathmandu
2952,3128,Simara Airport,Simara,Nepal,SIF,VNSI,27.15950012207031,84.9801025390625,450,5.75,N,Asia/Katmandu,airport,OurAirports,Asia/Kathmandu
2953,3129,Biratnagar Airport,Biratnagar,Nepal,BIR,VNVT,26.48150062561035,87.26399993896484,236,5.75,N,Asia/Katmandu,airport,OurAirports,Asia/Kathmandu
2954,3130,Agatti Airport,Agatti Island,India,AGX,VOAT,10.823699951171877,72.1760025024414,14,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2955,3131,Kempegowda International Airport,Bangalore,India,BLR,VOBL,13.1979,77.706299,3000,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2956,3132,Bellary Airport,Bellary,India,BEP,VOBI,15.162799835205078,76.88279724121094,30,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2957,3134,Vijayawada Airport,Vijayawada,India,VGA,VOBZ,16.530399322509766,80.79679870605469,82,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2958,3135,Coimbatore International Airport,Coimbatore,India,CJB,VOCB,11.029999733,77.0434036255,1324,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
2959,3136,Cochin International Airport,Kochi,India,COK,VOCI,10.1520004272,76.4019012451,30,5.5,N,Asia/Calcutta,airport,OurAirports,Asia/Kolkata
